Gene	kDeg_K562_Rep2
UQCRH	0.002249208
NDUFS5	0.001149488
ATP5PB	0.000972343
SDHC	0.002304592
NDUFS2	0.001849403
SDHB	0.001353272
ATPAF1	0.001397018
ATP5F1C	0.000463891
NDUFB8	0.000982439
NDUFS3	0.002362972
NDUFS8	0.005211374
COX8A	0.000848706
NDUFV1	0.002579353
SDHD	0.001110469
NDUFC2	0.000754317
NDUFA9	0.001415927
COX6A1	0.001332323
ATP5MC2	0.001805457
ATP5F1B	0.000721806
NDUFA12	0.001164915
NDUFB1	0.006373735
COX5A	0.000667927
NDUFB10	0.001394788
UQCRC2	0.001541496
COX4I1	0.000980456
NDUFAB1	0.002398313
ATP5MC1	0.003484104
ATPAF2	0.003988821
NDUFV2	0.001174347
ATP5F1A	0.001589361
ATP5F1D	0.0016501
NDUFS7	0.006369369
NDUFA13	0.001250416
COX6B1	0.002423707
NDUFA3	0.036834792
UQCR11	0.003138708
NDUFA11	0.002918382
NDUFA7	0.002316853
NDUFB7	0.00099346
UQCRFS1	0.002365855
COX6B2	0.000822216
COX5B	0.001060773
NDUFB3	0.000110732
COX7A2L	0.000990847
ATP5MC3	0.003998587
NDUFS1	0.001632545
NDUFA10	0.004931471
ATP5F1E	0.004089798
NDUFV3	0.003557673
ATP5PO	0.001026349
UQCR10	0.001501056
NDUFA6	0.001437196
NDUFB4	0.00217962
NDUFB5	0.001003016
UQCRC1	0.000856786
NDUFC1	0.002533507
NDUFS6	0.001699662
SDHA	0.002306513
NDUFS4	0.000533695
COX7C	0.000958085
UQCRQ	0.00082998
NDUFA2	0.001650886
COX7A2	0.000444062
NDUFB2	0.003739369
NDUFA4	0.003553223
NDUFA5	0.001154633
NDUFB9	0.0008615
CYC1	0.001193817
UQCRB	0.002027003
COX6C	0.000204386
NDUFB6	0.000540714
NDUFA8	0.000737529
NDUFA1	0.000514705
COX7B	0.000795101
NDUFB11	0.000835013
