Gene	kDeg_K562_Rep1
NDUFS5	0.001726141
UQCRH	0.002492979
ATP5PB	0.000765139
SDHC	0.001919107
NDUFS2	0.002774154
SDHB	0.000719211
ATPAF1	0.001885042
ATP5F1C	0.000444924
NDUFB8	0.002438525
NDUFS3	0.002271165
COX8A	0.000666782
NDUFS8	0.005402384
NDUFV1	0.002518758
SDHD	0.001100696
NDUFC2	0.001097813
NDUFA9	0.001324031
COX6A1	0.0017809
ATP5MC2	0.001650728
ATP5F1B	0.000779678
NDUFA12	0.001228901
NDUFB1	0.005465779
COX5A	0.000869485
NDUFB10	0.001586978
UQCRC2	0.001638256
COX4I1	0.000985944
NDUFAB1	0.002469413
ATP5MC1	0.003119117
ATPAF2	0.003336548
NDUFV2	0.000940219
ATP5F1A	0.001538395
ATP5F1D	0.001539245
NDUFS7	0.006556497
NDUFA13	0.000987326
COX6B1	0.002306265
NDUFA3	0.026534681
UQCR11	0.002907136
NDUFA7	0.00280626
NDUFA11	0.00333295
NDUFB7	0.00038285
UQCRFS1	0.001939132
COX5B	0.000846613
NDUFB3	0.000579574
COX7A2L	0.001342916
ATP5MC3	0.003920062
NDUFS1	0.001344964
NDUFA10	0.005154256
ATP5F1E	0.004696551
NDUFV3	0.003092868
ATP5PO	0.001060018
UQCR10	0.000973095
NDUFA6	0.001254556
NDUFB4	0.002041444
NDUFB5	0.001290553
UQCRC1	0.001020515
NDUFC1	0.002686919
NDUFS6	0.002216639
SDHA	0.002505672
NDUFS4	0.000680282
COX7C	0.001281531
UQCRQ	0.000835674
NDUFA2	0.001498035
COX7A2	0.000370489
NDUFB2	0.002997202
NDUFA4	0.002697903
NDUFA5	0.001197322
NDUFB9	0.000535376
CYC1	0.001192663
UQCRB	0.002155151
COX6C	0.000342899
NDUFB6	0.000638646
NDUFA8	0.001240697
COX7B	0.000976732
NDUFA1	0.000201944
NDUFB11	0.00053754
