Gene	RPF_HEK_WT_1	RPF_HEK_WT_2	RPF_HEK_WT_3	RPF_HEK_WT_Average	RPF_HEK_KO_1	RPF_HEK_KO_2	RPF_HEK_KO_Average
MT-ND6	112554.68	176105.96	174402.51	154354.3833	680254.11	685897.4	683075.755
MT-CO2	202248.5	183090.65	184168.04	189835.73	19130.34	19881.63	19505.985
MT-CYB	71292.19	64683.11	65665.95	67213.75	36005.57	34159.12	35082.345
MT-ND2	24312.14	23319.2	23561.9	23731.08	21522.7	20346	20934.35
MT-ND5	47464.12	43126.3	43587.24	44725.88667	68221.25	66337.76	67279.505
MT-CO1	112593.31	104214.62	105172.88	107326.9367	10292.09	10323.29	10307.69
MT-ND3	86988.19	85802.9	83276.38	85355.82333	75947.17	75532.73	75739.95
MT-ND1	16118.76	14837.33	14926.06	15294.05	9286.57	8715.22	9000.895
MT-CO3	126048.83	110302.24	110431.64	115594.2367	18771.49	18873.56	18822.525
MT-ND4L-4	25661.82	24291.75	24573.55	24842.37333	17712.8	16904.94	17308.87
MT-ATP8-6	174717.47	170225.95	170233.85	171725.7567	42855.91	43028.36	42942.135
