Gene	WT_Kdeg_Rep1_HL	WT_Kdeg_Rep2_HL	WT_AVERAGE_kDeg_HL	KO_Kdeg_Rep1_HL	KO_Kdeg_Rep2_HL	KO_AVERAGE_kDeg_HL
MT-ND1	0.029	0.026	0.028	0.030601023	0.030018639	0.030309831
MT-ND3	0.021	0.012	0.016	0.019035713	0.012603309	0.015819511
MT-ND4L-4	0.011	0.01	0.01	0.01981334	0.027117733	0.023465536
MT-CO2	0.008	0.011	0.01	0.017487338	0.026024667	0.021756003
MT-ATP8-6	0.007	0.007	0.007	0.016522192	0.023078558	0.019800375
MT-CO3	0.008	0.006	0.007	0.023979138	0.023654168	0.023816653
MT-ND2	0.028	0.027	0.027	0.0246638	0.026912219	0.02578801
MT-CO1	0.006	0.005	0.006	0.020122037	0.022673427	0.021397732
MT-ND5	0.016	0.015	0.016	0.013014188	0.017066175	0.015040182
MT-CYB	0.015	0.015	0.015	0.024900215	0.025365758	0.025132987
