Gene	TPM_HeLa_1	TPM_HeLa_2	Length	GeneID
NDUFAB1	220.82	187.12	522	ENSG00000004779
UQCRC1	209.19	217.52	1495	ENSG00000010256
NDUFS1	121.14	126.31	2235	ENSG00000023228
NDUFB4	221.88	215.85	447	ENSG00000065518
SDHA	176.94	179.85	2126	ENSG00000073578
VPS9D1	4.71	6.91	1896	ENSG00000075399
NDUFB2	144.36	127.62	588	ENSG00000090266
ATP5F1D	24.82	40.18	504	ENSG00000099624
NDUFB7	197.84	130.42	411	ENSG00000099795
NDUFC1	137.17	130.61	228	ENSG00000109390
NDUFS8	123.25	111.9	841	ENSG00000110717
ATP5F1B	940.83	928.47	1587	ENSG00000110955
COX6A1	396.22	477.19	327	ENSG00000111775
COX7A2	379.26	327.62	589	ENSG00000112695
NDUFS7	15.26	13.98	937	ENSG00000115286
COX7A2L	123.67	99.84	513	ENSG00000115944
ATP5PB	672.47	569.21	768	ENSG00000116459
SDHB	225.95	217.7	870	ENSG00000117118
NDUFB3	264.41	218.78	294	ENSG00000119013
NDUFA8	190.48	177.75	516	ENSG00000119421
ATPAF1	29.58	39.43	1148	ENSG00000123472
ATP5F1E	1997.31	2000.86	153	ENSG00000124172
NDUFA1	697.8	799.79	210	ENSG00000125356
COX6B1	845.05	738.72	258	ENSG00000126267
COX7C	1763.8	1402.1	192	ENSG00000127184
UQCR11	186.15	148.9	168	ENSG00000127540
NDUFA5	93.96	71.95	447	ENSG00000128609
NDUFA10	43.65	47.73	1822	ENSG00000130414
COX4I2	0	0	513	ENSG00000131055
COX4I1	405.49	511.61	617	ENSG00000131143
COX7B	1937.74	1789.09	255	ENSG00000131174
NDUFA2	180.4	187.88	317	ENSG00000131495
ATP5MC2	1005.47	981.26	471	ENSG00000135390
COX5B	251.66	292.41	387	ENSG00000135940
NDUFB5	156.78	139.34	701	ENSG00000136521
NDUFA9	152.38	133.47	1419	ENSG00000139180
UQCRC2	208.49	203.39	1470	ENSG00000140740
NDUFB10	133.08	124.78	611	ENSG00000140990
SDHC	99.58	123.89	673	ENSG00000143252
NDUFS6	78.7	131.67	579	ENSG00000145494
NDUFB11	447.68	384.88	489	ENSG00000147123
NDUFB9	191.48	237.2	924	ENSG00000147684
NDUFC2	419.05	437.46	403	ENSG00000151366
ATP5F1A	605.15	565.17	2076	ENSG00000152234
ATP5MC3	549.54	427.81	426	ENSG00000154518
UQCRB	401.63	336.6	683	ENSG00000156467
COX6A2	0	0	291	ENSG00000156885
NDUFS2	129.01	149.96	1406	ENSG00000158864
ATP5MC1	406.35	477.64	409	ENSG00000159199
NDUFV3	54.16	44.49	1419	ENSG00000160194
COX6B2	0	0	264	ENSG00000160471
COX7A1	0	0	237	ENSG00000161281
NDUFS4	85.04	103.79	746	ENSG00000164258
UQCRQ	1071.52	934.53	246	ENSG00000164405
COX6C	643.34	640.59	225	ENSG00000164919
NDUFB6	172.19	173.71	384	ENSG00000165264
ATP5F1C	259.57	236.9	895	ENSG00000165629
NDUFB8	213.45	208.01	607	ENSG00000166136
NDUFV1	135.1	128.53	1455	ENSG00000167792
NDUFS5	924.44	876.52	318	ENSG00000168653
UQCRFS1	190.23	207.23	822	ENSG00000169021
NDUFA3	35.23	34.15	558	ENSG00000170906
ATPAF2	10.3	20.61	867	ENSG00000171953
UQCRH	680.88	613.3	437	ENSG00000173660
NDUFA11	50.99	46.74	841	ENSG00000174886
COX8A	500.73	460.35	207	ENSG00000176340
NDUFV2	223.89	221.49	882	ENSG00000178127
COX5A	221.03	267.49	570	ENSG00000178741
CYC1	168.63	195.47	975	ENSG00000179091
NDUFB1	323.37	211.77	315	ENSG00000183648
UQCR10	246.22	195.88	225	ENSG00000184076
NDUFA12	165.71	147.28	550	ENSG00000184752
NDUFA6	203.07	154.7	462	ENSG00000184983
NDUFA4L2	0	0	333	ENSG00000185633
NDUFA13	128.81	126.85	770	ENSG00000186010
COX8C	0	0	216	ENSG00000187581
NDUFA4	922.95	916.67	243	ENSG00000189043
SDHD	157.52	135.77	658	ENSG00000204370
NDUFS3	180.48	156.82	1109	ENSG00000213619
ATP5PO	409.94	387.79	728	ENSG00000241837
NDUFA7	127.95	134.79	433	ENSG00000267855
