Gene	RPF_HeLa_1	RPF_HeLa_2	RPF_HeLaSpikeIn_1	RPF_HeLaSpikeIn_2	RPF_Average_HeLa
MT-ND6	63800.74	50336.98	67765.28	49863.46	57941.615
MT-CO2	152265.47	121122.33	138312.93	136501.17	137050.475
MT-CYB	110183.11	111570.92	114487.7	112966.03	112301.94
MT-ND2	35544.38	33410.07	35561.07	28188.99	33176.1275
MT-ND5	67913.71	68229.13	67803.17	69258.12	68301.0325
MT-CO1	157327.05	176944.24	158257.53	176564.26	167273.27
MT-ND3	76925.65	87362.27	81468.29	71686.01	79360.555
MT-ND1	18399.87	22697.93	17836.72	25726.98	21165.375
MT-CO3	128730.52	140277.64	128827.62	144251.29	135521.7675
MT-ND4L-4	30980.49	26832.41	31749.64	22651.3	28053.46
MT-ATP8-6	157929.01	161216.06	157930.06	162342.39	159854.38
