Gene	RPF_K562_1	RPF_K562_2	RPF_K562_Average	TACO1KO_1	TACO1KO_2	PREPLKO_1	PREPLKO_2	NME6KO_1	NME6KO_2
MT-ND6	176015.13	111596.34	143805.735	147519.28	21276.5	61939.42	53844.38	212504.62	62584.51
MT-CO2	107422.73	133110.25	120266.49	154106.69	108658.69	166650.09	128883.57	177285.03	153061.94
MT-CYB	60820.79	60900.68	60860.735	59442.87	48933.13	62476.68	63053.38	33000.88	30335.17
MT-ND2	34950.08	30365.24	32657.66	29683.28	25909.1	21859.15	39299.86	33993.69	26765.12
MT-ND5	62038.96	67598.26	64818.61	36379.59	33173.34	60947.32	67336.45	22483.61	22995.45
MT-CO1	122621.26	100960.02	111790.64	185885.07	221357.55	88002.93	109456.22	172786.96	215993.18
MT-ND3	105006.86	128110.8	116558.83	84038.43	67268.49	139837.3	118688.47	59373.53	62178.32
MT-ND1	29152.11	24963.44	27057.775	32477.95	70145.42	34916.2	58774.19	29942.44	55931.49
MT-CO3	110128.56	121092.56	115610.56	120457.37	168574.16	123471.47	171276.5	115104.31	176755.17
MT-ND4L-4	45034.75	44372.04	44703.395	36639.94	30934.58	56711.53	49228.49	22443.6	17573.21
MT-ATP8-6	146808.76	176930.36	161869.56	113369.54	203769.03	183187.9	140158.5	121081.32	175826.44
