Gene	Mito1	Mito2	Tot1	Tot2	Nanopore_Rep1	Nanopore_Rep2	Nanopore_Sum
MT-ATP8-6	4871.67	4649.12	535.11	756.69	335	46	381
MT-CO1	15683.38	14757.02	2121.87	2251	585	104	689
MT-CO2	5854.32	5817.13	671.81	880.38	334	68	402
MT-CO3	13516.2	8480.17	1593.26	1671.08	415	76	491
MT-CYB	3666.29	3639.63	412.04	516.1	164	19	183
MT-ND1	1755.64	2081.83	197.17	283.63	135	13	148
MT-ND2	2049.85	2985.43	264.24	376.4	97	16	113
MT-ND3	1047.9	526.46	129.05	144.1	106	16	122
MT-ND4L-4	6820.8	7083.21	894.79	1227.49	235	35	270
MT-ND5	2592.12	2842.32	394.52	529.32	160	31	191
