Gene	kDeg_HEK_WT1
NDUFS5	0.00166141
UQCRH	0.001948463
ATP5PB	0.004924123
SDHC	0.003001812
NDUFS2	0.00386857
SDHB	0.002006656
ATPAF1	0.002428446
COX5B	0.000831835
NDUFB3	0.00179703
COX7A2L	0.002883135
ATP5MC3	0.003098881
NDUFS1	0.003042944
NDUFA10	0.006737849
NDUFB4	0.003036633
NDUFB5	0.004527781
UQCRC1	0.001516549
NDUFC1	0.001971779
SDHA	0.002530867
NDUFS6	0.002315374
NDUFS4	0.000591269
COX7C	0.003305448
UQCRQ	0.003820872
NDUFA2	0.001597731
COX7A2	0.002053485
NDUFB2	0.010259501
NDUFA4	0.001999385
NDUFA5	0.002686421
NDUFB9	0.002233895
CYC1	0.001795821
UQCRB	0.001258843
COX6C	0.001949714
NDUFB6	0.002487567
NDUFA8	0.002212083
ATP5F1C	0.00087287
NDUFB8	0.003628905
NDUFS3	0.002537137
COX8A	0.000614404
NDUFV1	0.002978016
NDUFS8	0.007274979
SDHD	0.002391325
NDUFC2	0.001294836
NDUFA9	0.003510279
COX6A1	0.001468767
ATP5MC2	0.005559812
ATP5F1B	0.001279958
NDUFA4L2	0.000539099
NDUFA12	0.002191886
NDUFB1	0.014152951
COX5A	0.003101043
NDUFB10	0.000950672
UQCRC2	0.004053423
COX4I1	0.001086788
NDUFAB1	0.004580314
VPS9D1	0.012664614
ATP5MC1	0.004642437
ATPAF2	0.007644644
NDUFV2	0.002475632
ATP5F1A	0.002119191
ATP5F1D	0.00122714
NDUFS7	0.005176838
NDUFA13	0.002102481
COX6B1	0.001228202
NDUFA3	0.010469848
UQCR11	0.002791848
NDUFA11	0.003647613
NDUFA7	0.003208157
NDUFB7	0.000715804
UQCRFS1	0.002097069
COX6B2	3.78E-11
COX4I2	3.78E-11
ATP5F1E	0.005158509
NDUFV3	0.004864932
ATP5PO	0.002733519
UQCR10	0.000399313
NDUFA6	0.000456741
COX7B	0.012589771
NDUFA1	0.000492995
NDUFB11	0.000595028
