Gene	kDeg_HEK_KO2
UQCRH	0.000633848
NDUFS5	0.000348614
ATP5PB	0.000953186
NDUFS2	0.002631129
SDHC	0.001192845
SDHB	0.000933919
ATPAF1	0.000695702
COX5B	0.000177151
NDUFB3	0.000631732
COX7A2L	0.000753513
ATP5MC3	0.001248932
NDUFS1	0.001488225
NDUFA10	0.001965335
NDUFB4	0.001706469
NDUFB5	0.002102333
UQCRC1	0.000455886
COX7A2P2	3.78E-11
NDUFC1	0.001942645
SDHA	0.000872288
NDUFS6	0.000927507
NDUFS4	0.0004253
COX7C	0.000945586
UQCRQ	0.000938152
NDUFA2	0.000263662
COX7A2	3.78E-11
NDUFB2	0.00497297
NDUFA4	0.001120735
NDUFA5	0.000974045
NDUFB9	0.001038373
CYC1	0.000478343
UQCRB	0.000614927
COX6C	0.000871935
NDUFB6	0.000434259
NDUFA8	0.000775111
ATP5F1C	0.000573586
NDUFB8	9.79E-05
NDUFS3	0.000952351
COX8A	3.78E-11
NDUFV1	0.000952938
NDUFS8	0.001917783
SDHD	0.000616808
NDUFC2	0.000367945
NDUFA9	0.000681716
COX6A1	0.000793267
ATP5MC2	0.001755252
NDUFA4L2	3.78E-11
ATP5F1B	0.000310945
NDUFA12	0.000293906
NDUFB1	0.002707046
COX5A	0.002926034
NDUFB10	0.00077793
UQCRC2	0.001571708
COX4I1	0.000148746
NDUFAB1	0.000526651
VPS9D1	0.008539123
ATP5MC1	0.000680323
ATPAF2	0.003614502
NDUFV2	0.000976594
ATP5F1A	0.000252301
NDUFS7	0.00329775
ATP5F1D	0.00071582
NDUFA13	0.000437268
COX6B1	0.000424873
NDUFA3	0.002779311
UQCR11	0.001285341
NDUFA11	0.001619083
NDUFA7	0.000387153
NDUFB7	3.78E-11
UQCRFS1	0.000711577
COX6B2	0.007664153
ATP5F1E	0.001536708
NDUFV3	0.002150318
ATP5PO	0.00085868
UQCR10	1.00E-12
NDUFA6	0.00041892
COX7B	0.003236218
NDUFA1	0.000911615
NDUFB11	3.53E-05
