Gene	TL4_kDeg	TL4_Half Life
UQCRH	0.00152536	454.3188548
NDUFS5	0.000663616	1044.278376
ATP5PB	0.001117547	620.1080217
NDUFS2	0.002808089	246.7870795
SDHC	0.003191421	217.1446747
SDHB	0.001295321	535.0025542
ATPAF1	0.00229551	301.8936557
COX5B	0.000501461	1381.96159
NDUFB3	0.000752673	920.7183789
COX7A2L	0.001959171	353.721079
ATP5MC3	0.002726857	254.1387152
NDUFS1	0.002788698	248.5030877
NDUFA10	0.007506801	92.31628404
NDUFB4	0.001644122	421.5015317
NDUFB5	0.001870194	370.5497807
UQCRC1	0.000700136	989.8072231
NDUFC1	0.000832723	832.2093982
SDHA	0.002397678	289.0295852
NDUFS6	0.001893811	365.9288734
NDUFS4	0.000701881	987.3467362
COX7C	0.001894502	365.7953416
UQCRQ	0.001111901	623.2571751
NDUFA2	0.000629424	1101.007239
COX7A2	0.00174716	396.6438041
NDUFB2	0.005215525	132.8725354
NDUFA4	0.001546191	448.1980983
NDUFA5	0.001606183	431.4575535
NDUFB9	0.000953519	726.7811861
CYC1	0.000609245	1137.472727
UQCRB	0.000908377	762.8993016
COX6C	0.001399721	495.0986812
NDUFB6	0.001220305	567.8905991
NDUFA8	0.002266564	305.7491664
ATP5F1C	0.000574726	1205.79273
NDUFB8	0.00227856	304.1394243
NDUFS3	0.002220565	312.0826706
COX8A	0.00056388	1228.984358
NDUFV1	0.001902915	364.1781987
NDUFS8	0.004036856	171.6682425
SDHD	0.00178035	389.2493192
NDUFC2	0.000630024	1099.95807
NDUFA9	0.001665193	416.1680385
COX6A1	0.00119577	579.5429485
ATP5MC2	0.003785976	183.0439311
NDUFA4L2	0.001270601	545.4112483
ATP5F1B	0.000633591	1093.765589
NDUFA12	0.00095239	727.6430658
NDUFB1	0.013598307	50.9622279
COX5A	0.000982252	705.5216247
NDUFB10	0.000856907	808.7227193
UQCRC2	0.00187447	369.7044977
COX4I1	0.000581225	1192.308919
NDUFAB1	0.000978471	708.2480893
VPS9D1	0.002859875	242.3182904
ATP5MC1	0.002514771	275.5717614
ATPAF2	0.004769144	145.3091027
NDUFV2	0.002502623	276.9094847
ATP5F1A	0.001336177	518.6438057
ATP5F1D	0.00073754	939.6103577
NDUFS7	0.004912657	141.0641893
NDUFA13	0.000747996	926.4760944
COX6B1	0.000332304	2085.438116
NDUFA3	0.005656281	122.5186656
UQCR11	0.002792648	248.1516168
NDUFA11	0.002033804	340.7407706
NDUFA7	0.001986624	348.8330153
NDUFB7	0.00031633	2190.748069
UQCRFS1	0.002297395	301.6459969
COX6B2	0.003559154	194.7091872
ATP5F1E	0.003760142	184.3015447
NDUFV3	0.004373137	158.4674695
ATP5PO	0.001162245	596.2597722
UQCR10	0.000876712	790.4535863
NDUFA6	0.000956618	724.4273273
COX7B	0.001254949	552.2135499
NDUFA1	0.001188973	582.8560384
NDUFB11	0.000556543	1245.186631
