Tcount	0	1	2	3	4
1	14	0	0	0	0
2	30	0	0	0	0
3	75	0	0	0	0
4	99	0	0	0	0
5	209	0	0	0	0
6	322	3	0	0	0
7	332	3	0	0	0
8	585	4	0	0	0
9	637	2	0	0	0
10	662	5	0	0	0
11	840	9	0	0	0
12	1038	7	0	0	0
13	1640	14	0	0	0
14	1447	14	1	0	0
15	1805	23	0	0	0
16	1911	20	0	0	0
17	2130	18	3	0	0
18	2161	20	2	0	0
19	2226	24	1	0	0
20	3075	44	3	0	0
21	3650	52	1	0	0
22	4164	62	1	0	0
23	3129	67	2	0	0
24	3605	59	2	0	0
25	4138	95	0	0	0
26	4149	89	5	0	0
27	4000	74	1	0	0
28	4089	92	4	1	0
29	4390	68	3	0	0
30	5134	120	4	0	0
31	5431	113	2	0	0
32	4012	113	1	2	0
33	3957	72	4	0	0
34	4191	91	2	0	0
35	4025	86	6	1	0
36	4242	91	1	0	0
37	4135	103	4	0	0
38	4603	114	0	0	0
39	4336	94	2	0	0
40	4036	100	3	2	0
41	3843	89	2	0	0
42	4373	126	3	0	0
43	3805	92	1	0	0
44	3257	81	3	0	0
45	5051	112	5	0	0
46	3273	85	3	0	0
47	2696	77	4	0	0
48	2441	62	2	2	0
49	3332	86	1	0	0
50	3200	90	3	2	0
51	2382	67	2	0	0
52	3215	112	5	0	0
53	2377	84	1	0	0
54	2411	82	3	0	0
55	3174	91	2	0	0
56	4058	135	4	0	0
57	1611	79	1	0	0
58	1384	59	1	0	0
59	1386	69	2	0	0
60	1424	53	3	0	0
61	1463	53	1	2	1
62	1390	50	1	0	0
63	1206	33	2	0	0
64	1109	44	0	0	0
65	933	31	0	0	0
66	871	35	2	0	0
67	1387	56	4	0	0
68	1648	73	5	0	0
69	1002	44	1	0	0
70	756	37	1	0	0
71	721	45	0	0	0
72	687	43	1	0	0
73	622	23	2	0	0
74	450	27	0	0	0
75	520	24	0	0	0
76	412	22	2	0	0
77	346	16	0	0	0
78	392	17	0	0	0
79	440	21	1	0	0
80	370	18	0	0	0
81	378	28	0	0	0
82	306	17	0	0	0
83	308	18	0	0	0
84	282	15	2	0	0
85	261	24	1	0	0
86	269	13	0	0	0
87	249	13	0	0	0
88	169	13	0	0	0
89	148	6	0	0	0
90	130	6	0	0	0
91	83	7	1	0	0
92	87	7	0	0	0
93	98	8	0	0	0
94	87	1	0	0	0
95	87	1	0	0	0
96	45	6	0	0	0
97	48	3	0	0	0
98	51	1	0	0	0
99	35	1	0	0	0
100	25	1	0	0	0
101	24	0	0	0	0
102	10	0	0	0	0
103	13	0	0	0	0
104	4	0	0	0	0
105	5	0	0	0	0
106	1	0	0	0	0
107	3	0	0	0	0
108	4	0	0	0	0
109	5	2	0	0	0
110	3	0	0	0	0
111	1	0	0	0	0
112	1	0	0	0	0
113	2	0	0	0	0
114	1	0	0	0	0
115	1	0	0	0	0
