Tcount	0	1	2	3	4	5	6
1	17	0	0	0	0	0	0
2	36	0	0	0	0	0	0
3	97	0	0	0	0	0	0
4	123	1	0	0	0	0	0
5	244	1	0	0	0	0	0
6	300	1	0	0	0	0	0
7	326	3	0	0	0	0	0
8	654	10	0	0	0	0	0
9	564	17	0	0	0	0	0
10	633	12	0	0	0	0	0
11	806	27	0	0	0	0	0
12	953	37	1	0	0	0	0
13	1768	57	6	0	0	0	0
14	1260	55	2	1	0	0	0
15	1772	84	3	0	0	0	0
16	2003	82	4	0	0	0	0
17	2073	84	8	0	0	0	0
18	1956	97	3	0	0	0	0
19	1981	132	3	0	0	0	0
20	2735	144	7	0	0	0	0
21	3560	241	14	0	0	0	0
22	5572	317	11	3	0	0	0
23	3193	221	12	0	0	0	0
24	3775	274	21	1	0	0	0
25	4783	321	16	1	0	0	0
26	4792	428	22	5	0	0	0
27	4790	389	25	1	0	0	0
28	5175	438	27	2	0	0	0
29	5677	445	37	0	0	0	0
30	7895	600	42	10	0	0	0
31	8201	722	53	8	0	0	0
32	5681	568	51	9	0	0	0
33	5704	593	65	4	0	0	0
34	6632	664	76	3	4	0	0
35	6695	683	77	5	0	0	0
36	7294	769	110	7	1	0	0
37	6961	718	64	4	1	0	0
38	8005	835	90	5	1	0	0
39	7888	915	111	9	1	0	0
40	7158	801	91	6	1	0	0
41	7246	900	127	7	0	0	0
42	8730	969	169	8	4	0	0
43	8859	1007	106	22	1	0	0
44	7221	914	127	13	1	1	0
45	12471	1388	171	18	2	0	0
46	7888	1049	126	15	0	0	0
47	6095	834	125	10	2	0	0
48	5146	682	106	15	3	0	0
49	7383	1066	156	17	2	0	0
50	8151	1143	175	20	1	0	0
51	5525	761	123	11	0	0	0
52	7888	969	141	16	1	0	0
53	5932	830	115	16	0	0	0
54	6384	852	125	13	0	0	0
55	8264	1068	182	30	1	0	0
56	10408	1304	201	32	2	0	0
57	4147	695	105	12	2	0	0
58	3495	633	103	7	0	0	0
59	3681	594	80	23	2	2	0
60	3821	552	108	10	1	2	0
61	4659	659	100	19	1	0	0
62	3642	609	115	11	2	1	0
63	3443	510	95	11	0	0	0
64	3053	537	83	12	1	1	0
65	2752	484	87	19	1	0	0
66	2783	478	95	13	1	2	0
67	4402	706	156	8	5	0	1
68	6139	956	165	25	4	0	0
69	3376	597	115	10	2	0	0
70	2567	502	98	14	0	0	0
71	2353	430	72	20	0	1	0
72	2415	462	84	16	0	0	0
73	2228	472	86	13	2	0	0
74	1948	371	106	7	8	0	0
75	1904	354	75	12	0	1	0
76	1505	321	84	10	2	0	0
77	1523	352	64	14	3	0	0
78	1418	317	54	16	0	0	0
79	1319	285	40	7	1	0	0
80	1286	263	62	7	0	0	0
81	1405	277	77	15	3	0	0
82	1357	291	59	13	1	0	0
83	1333	311	67	4	1	1	0
84	1281	249	56	9	2	0	0
85	1331	278	62	16	0	1	0
86	1119	228	53	8	0	0	1
87	968	188	49	8	4	0	0
88	815	182	43	7	2	1	0
89	670	140	22	7	4	0	0
90	461	109	30	5	5	0	0
91	334	94	25	8	2	0	0
92	279	82	16	4	0	0	0
93	277	78	13	3	1	0	0
94	280	90	18	5	0	0	0
95	236	107	25	4	2	0	0
96	212	74	15	6	0	0	0
97	177	68	15	4	0	0	0
98	148	40	19	5	1	0	0
99	142	50	16	1	1	0	0
100	120	25	7	1	1	0	0
101	47	16	3	2	0	0	0
102	27	15	2	0	0	0	0
103	28	5	4	0	0	0	0
104	26	8	3	1	0	0	0
105	11	9	0	0	0	0	0
106	11	5	2	0	0	0	0
107	12	4	1	0	0	0	0
108	6	5	1	1	0	0	0
109	5	4	1	0	0	0	0
110	9	4	0	0	0	0	0
111	6	2	0	0	0	0	0
112	2	4	1	0	0	0	0
113	6	3	0	0	0	0	0
114	1	2	0	0	0	0	0
115	4	0	1	0	0	0	0
116	4	0	0	0	0	0	0
117	2	1	0	0	0	0	0
118	1	2	1	0	0	0	0
119	0	2	2	0	0	0	0
120	0	1	0	0	0	0	0
121	1	1	0	0	0	0	0
122	0	0	1	0	0	0	0
129	2	0	0	0	0	0	0
130	0	1	0	0	0	0	0
