Tcount	AriTC0	AriTC1	AriTC2	AriTC3	AriTC4	AriTC5
1	98	98	98	98	98	98
2	134	134	134	134	135	134
3	558	558	557	560	557	558
4	380	380	379	378	379	380
5	840	840	840	841	839	839
6	1834	1834	1834	1833	1832	1832
7	2743	2742	2744	2742	2744	2745
8	5523	5524	5524	5521	5522	5520
9	3293	3294	3288	3295	3291	3293
10	4460	4459	4461	4459	4459	4458
11	5137	5138	5136	5136	5139	5132
12	9244	9243	9240	9244	9243	9244
13	11416	11414	11413	11413	11419	11416
14	8321	8323	8324	8317	8317	8318
15	15944	15942	15938	15942	15942	15943
16	10045	10048	10042	10046	10046	10047
17	10966	10965	10970	10967	10961	10964
18	19275	19274	19276	19276	19279	19276
19	12107	12106	12103	12102	12107	12105
20	12261	12264	12265	12264	12258	12256
21	14663	14661	14665	14665	14665	14664
22	22542	22541	22539	22538	22540	22540
23	16976	16974	16982	16976	16972	16974
24	14423	14425	14421	14423	14424	14422
25	24089	24087	24085	24088	24090	24085
26	12268	12269	12267	12267	12267	12274
27	12124	12125	12128	12129	12124	12119
28	12414	12415	12411	12412	12411	12417
29	13967	13966	13962	13965	13969	13965
30	17920	17921	17922	17920	17921	17923
31	18872	18872	18876	18871	18872	18873
32	17965	17965	17960	17964	17967	17961
33	25488	25488	25496	25494	25489	25501
34	34076	34075	34070	34070	34075	34062
35	20273	20275	20276	20275	20270	20270
36	16647	16647	16636	16648	16646	16646
37	14190	14189	14190	14186	14189	14187
38	13067	13066	13070	13068	13065	13064
39	13251	13252	13249	13249	13253	13258
40	15738	15737	15740	15741	15736	15732
41	15273	15274	15267	15268	15276	15272
42	13838	13836	13838	13843	13835	13837
43	13674	13673	13677	13668	13670	13676
44	13175	13173	13172	13174	13176	13175
45	15097	15098	15097	15098	15100	15098
46	12598	12598	12599	12601	12602	12599
47	11716	11716	11718	11711	11708	11715
48	10006	10005	10004	10008	10005	10005
49	8943	8943	8947	8942	8943	8940
50	7182	7182	7176	7180	7184	7181
51	9185	9184	9191	9189	9186	9186
52	18399	18400	18395	18399	18398	18405
53	12808	12807	12807	12804	12806	12806
54	10652	10652	10652	10660	10651	10651
55	14104	14103	14103	14097	14108	14098
56	11976	11977	11974	11975	11976	11976
57	6148	6147	6149	6150	6149	6146
58	4431	4431	4430	4428	4430	4434
59	8648	8649	8649	8649	8647	8647
60	4983	4982	4979	4981	4984	4986
61	3656	3656	3658	3655	3654	3650
62	2518	2518	2518	2521	2519	2521
63	2318	2320	2318	2315	2318	2314
64	2295	2294	2294	2295	2293	2295
65	1371	1370	1371	1372	1372	1371
66	1526	1526	1527	1530	1524	1527
67	2916	2916	2915	2912	2917	2916
68	2266	2266	2265	2267	2265	2266
69	1343	1343	1343	1342	1342	1342
70	1044	1044	1044	1043	1044	1045
71	581	581	582	581	581	580
72	581	581	580	581	581	581
73	511	511	511	511	511	512
74	318	318	318	319	318	318
75	275	275	275	274	275	274
76	230	230	230	230	230	230
77	173	173	173	173	173	173
78	238	238	238	238	238	238
79	161	161	161	161	161	161
80	143	143	143	143	143	143
81	134	134	134	134	134	134
82	59	59	59	59	59	59
83	75	75	75	75	75	75
84	106	106	106	106	106	106
85	60	60	60	60	60	60
86	51	51	51	51	51	51
87	32	32	32	32	32	32
88	10	10	10	10	10	10
89	18	18	18	18	18	18
90	17	17	17	17	17	17
91	6	6	6	6	6	6
92	7	7	7	7	7	7
93	5	5	5	5	5	5
94	2	2	2	2	2	2
95	10	10	10	10	10	10
96	1	1	1	1	1	1
97	8	8	8	8	8	8
98	5	5	5	5	5	5
99	4	4	4	4	4	4
100	2	2	2	2	2	2
101	2	2	2	2	2	2
102	2	2	2	2	2	2
106	1	1	1	1	1	1
107	1	1	1	1	1	1
110	2	2	2	2	2	2
111	1	1	1	1	1	1
