	0	1	2	3	4
0	3	0	0	0	0
1	170	0	0	0	0
2	299	0	0	0	0
3	871	0	0	0	0
4	515	0	0	0	0
5	994	0	0	0	0
6	2001	9	0	0	0
7	3041	14	0	0	0
8	5892	27	0	0	0
9	3653	33	1	0	0
10	5153	30	0	0	0
11	5732	49	1	0	0
12	10045	71	1	0	0
13	12622	142	4	0	0
14	9621	98	6	1	0
15	18441	163	1	0	0
16	11593	147	2	0	0
17	12592	177	6	0	0
18	21761	225	4	0	0
19	14136	178	2	0	0
20	14529	186	4	0	0
21	16915	251	3	0	0
22	25244	402	2	0	0
23	19242	333	4	0	0
24	16874	273	6	0	0
25	27260	435	6	0	0
26	14174	306	11	2	0
27	14802	267	5	0	0
28	14868	306	8	1	0
29	16563	273	19	0	0
30	20973	372	11	1	0
31	22185	468	5	0	0
32	21779	458	9	2	0
33	30163	617	14	2	0
34	38751	693	7	0	0
35	23717	566	13	1	0
36	20076	538	13	0	0
37	17979	431	17	1	0
38	15905	434	4	2	0
39	16258	428	7	11	0
40	18523	735	11	8	0
41	18146	514	10	8	1
42	16649	431	10	4	0
43	16410	397	7	0	0
44	15875	418	14	0	0
45	17786	424	12	2	0
46	15138	403	10	0	0
47	13987	382	9	0	0
48	12059	362	4	3	0
49	10963	306	5	3	0
50	9416	277	9	3	0
51	11710	395	10	0	0
52	21567	661	24	1	0
53	15284	568	11	1	0
54	13305	440	20	0	0
55	17361	512	14	1	0
56	14781	545	16	1	0
57	8170	311	5	0	0
58	6481	223	7	0	0
59	11382	383	6	1	0
60	7365	259	14	0	0
61	6172	215	4	2	1
62	6340	263	8	0	0
63	5587	207	3	0	0
64	5666	206	4	0	0
65	5272	190	6	0	0
66	5452	194	4	0	0
67	6466	238	6	0	0
68	5193	223	11	0	0
69	3448	154	4	2	0
70	2638	97	1	0	0
71	2091	105	2	0	0
72	2435	106	4	0	0
73	2148	81	4	0	0
74	2414	111	3	0	0
75	1747	93	0	0	0
76	1077	57	2	0	0
77	615	26	0	0	0
78	582	24	0	0	0
79	524	23	1	0	0
80	432	19	0	0	0
81	431	28	0	0	0
82	346	18	0	0	0
83	346	19	0	0	0
84	359	19	2	0	0
85	300	24	1	0	0
86	296	17	0	0	0
87	263	14	0	0	0
88	173	17	0	0	0
89	166	7	0	0	0
90	138	8	0	0	0
91	100	8	1	0	0
92	114	7	0	0	0
93	113	8	0	0	0
94	91	2	0	0	0
95	104	1	0	0	0
96	48	6	0	0	0
97	57	4	0	0	0
98	58	1	0	0	0
99	41	1	0	0	0
100	26	2	0	0	0
101	29	0	0	0	0
102	15	1	0	0	0
103	16	0	0	0	0
104	4	0	0	0	0
105	5	0	0	0	0
106	4	0	0	0	0
107	5	0	0	0	0
108	8	0	0	0	0
109	9	2	0	0	0
110	8	0	0	0	0
111	3	0	0	0	0
112	3	0	0	0	0
113	3	0	0	0	0
114	1	0	0	0	0
115	2	0	0	0	0
120	2	0	0	0	0
