GeneName	WT1_2	WT2_2	KO1_2	KO2_2	KOplWT1_2	KOplWT2_2	Length	GeneID
NDUFAB1	376.35	360.78	375.91	389.22	434.92	472.52	522	ENSG00000004779
UQCRC1	229.82	233.63	185.14	172.22	249.46	217.14	1495	ENSG00000010256
NDUFS1	80.76	82.64	96.94	95.32	107.92	118.88	2235	ENSG00000023228
NDUFB4	377.01	349.1	437.14	451.84	569.16	599.1	447	ENSG00000065518
SDHA	125.98	126.57	163.22	159.65	199.86	170	2126	ENSG00000073578
VPS9D1	0.61	0.7	0.5	0.58	0.79	0.68	1896	ENSG00000075399
NDUFB2	166.19	168.09	185.33	190.48	243.37	271.78	588	ENSG00000090266
ATP5F1D	473.56	507.14	444.79	434.39	480.33	408.68	504	ENSG00000099624
NDUFB7	305.54	290.19	354.57	331.95	406.89	424.18	411	ENSG00000099795
NDUFC1	366.87	327.98	389.37	372.78	645.02	807.82	228	ENSG00000109390
NDUFS8	203.75	204.86	291.55	271.84	367.75	345.49	841	ENSG00000110717
ATP5F1B	1076.81	1071.7	997.07	960.75	1253.13	1188.14	1587	ENSG00000110955
COX6A1	1042.49	1019.08	1298.54	1315.65	1246.61	1504.63	327	ENSG00000111775
COX7A2	208.77	198.85	369.23	378.12	453.17	509.48	589	ENSG00000112695
NDUFS7	136.57	136.5	172.95	167.64	241.26	206.73	937	ENSG00000115286
COX7A2L	107.33	105.84	97.97	100.99	92.7	96.92	513	ENSG00000115944
ATP5PB	474.29	459.25	471.4	491.76	470.7	450.22	768	ENSG00000116459
SDHB	122.74	122.35	154.82	153.11	310.04	289.26	870	ENSG00000117118
NDUFB3	217.14	212.48	279.19	298.18	280.66	320.65	294	ENSG00000119013
NDUFA8	209.62	215.21	227.35	222.24	264.02	280.92	516	ENSG00000119421
ATPAF1	71.47	71.19	58.82	52.76	72.49	91.12	1148	ENSG00000123472
ATP5F1E	434.8	415.31	448.22	463.93	694.14	856.7	153	ENSG00000124172
NDUFA1	813.9	805.1	1094.33	1214.18	1277.75	1483.55	210	ENSG00000125356
COX6B1	714.21	677.49	783.77	796.42	709.28	826.51	258	ENSG00000126267
COX7C	1496.26	1460.01	2636.03	2683.87	2794.16	3121.67	192	ENSG00000127184
UQCR11	513	437.82	631.18	586.02	1112.32	1229.88	168	ENSG00000127540
NDUFA5	78.06	75.88	94.84	100.02	108.55	118.81	447	ENSG00000128609
NDUFA10	60.8	63.47	65.48	69.72	70.08	68.22	1822	ENSG00000130414
COX4I2	6.51	5.58	5.49	4.31	2.23	0	513	ENSG00000131055
COX4I1	671.96	671.4	640.43	665	779.86	724.18	617	ENSG00000131143
COX7B	824.18	792.83	1043.04	1156.81	964.55	1166.67	255	ENSG00000131174
NDUFA2	308.72	303.74	453.42	435.62	503.37	538.24	317	ENSG00000131495
ATP5MC2	771.36	748.73	893.81	809.68	1001.41	1054.56	471	ENSG00000135390
COX5B	663.41	649.51	862.36	891.82	1016.93	911.39	387	ENSG00000135940
NDUFB5	110.42	102.6	137.7	140.44	154.39	193.43	701	ENSG00000136521
NDUFA9	100.61	100.79	96.24	99.26	89.12	92.14	1419	ENSG00000139180
UQCRC2	201.15	203.07	212.57	214.97	233.16	228.74	1470	ENSG00000140740
NDUFB10	358.69	387.9	355.17	342.33	555.18	591.79	611	ENSG00000140990
SDHC	280.16	282.87	303.08	297.09	296.38	336.04	673	ENSG00000143252
NDUFS6	270.14	265.72	413.33	390.7	395.14	405.65	579	ENSG00000145494
NDUFB11	318.96	326.74	488.45	486.36	679.47	566.79	489	ENSG00000147123
NDUFB9	247.94	229.8	203.09	206.51	213.96	233.92	924	ENSG00000147684
NDUFC2	484.06	474.16	565.58	602.05	468.94	482.26	403	ENSG00000151366
ATP5F1A	450.69	458.8	402.86	389.56	418.04	403.09	2076	ENSG00000152234
