Gene	RPF_HeLa_1	RPF_HeLa_2	Length	GeneID
NDUFAB1	335.56	284.43	522	ENSG00000004779
UQCRC1	205.67	208.76	1495	ENSG00000010256
NDUFS1	141.25	141.94	2235	ENSG00000023228
NDUFB4	409.32	396.22	447	ENSG00000065518
SDHA	223.91	194.08	2126	ENSG00000073578
VPS9D1	0.74	0.22	1896	ENSG00000075399
NDUFB2	122.9	126.49	588	ENSG00000090266
ATP5F1D	622.4	527.39	504	ENSG00000099624
NDUFB7	339	239.82	411	ENSG00000099795
NDUFC1	148.38	182.92	228	ENSG00000109390
NDUFS8	181.38	159.02	841	ENSG00000110717
ATP5F1B	1096.66	998.62	1587	ENSG00000110955
COX6A1	886.44	648.33	327	ENSG00000111775
COX7A2	382.35	377.4	589	ENSG00000112695
NDUFS7	142.71	123.59	937	ENSG00000115286
COX7A2L	59.31	60.43	513	ENSG00000115944
ATP5PB	389.94	374.7	768	ENSG00000116459
SDHB	160.84	148.45	870	ENSG00000117118
NDUFB3	555.61	557.02	294	ENSG00000119013
NDUFA8	216.86	199.37	516	ENSG00000119421
ATPAF1	21.27	28.09	1148	ENSG00000123472
ATP5F1E	1966.51	2038.03	153	ENSG00000124172
NDUFA1	862.69	625.58	210	ENSG00000125356
COX6B1	738.66	697.79	258	ENSG00000126267
COX7C	2112.35	2115.69	192	ENSG00000127184
UQCR11	694.68	582.55	168	ENSG00000127540
NDUFA5	203.32	197.8	447	ENSG00000128609
NDUFA10	42.63	37.69	1822	ENSG00000130414
COX4I2	0.78	1.36	513	ENSG00000131055
COX4I1	652.79	565.76	617	ENSG00000131143
COX7B	1365.17	1226.63	255	ENSG00000131174
NDUFA2	295.54	252.6	317	ENSG00000131495
ATP5MC2	812.63	735.53	471	ENSG00000135390
COX5B	488.3	473.45	387	ENSG00000135940
NDUFB5	116.23	120.57	701	ENSG00000136521
NDUFA9	111.45	100.52	1419	ENSG00000139180
UQCRC2	167.64	169.56	1470	ENSG00000140740
NDUFB10	152.35	173.6	611	ENSG00000140990
SDHC	144.86	153.89	673	ENSG00000143252
NDUFS6	342.63	359.19	579	ENSG00000145494
NDUFB11	402.82	343.99	489	ENSG00000147123
NDUFB9	220.76	142.18	924	ENSG00000147684
NDUFC2	453.52	470.52	403	ENSG00000151366
ATP5F1A	295.93	299	2076	ENSG00000152234
ATP5MC3	532.88	472.21	426	ENSG00000154518
UQCRB	633.96	436.8	683	ENSG00000156467
COX6A2	0	0	291	ENSG00000156885
NDUFS2	110.2	101.84	1406	ENSG00000158864
ATP5MC1	445.4	307.95	409	ENSG00000159199
NDUFV3	22.85	22.92	1419	ENSG00000160194
COX6B2	0	0.53	264	ENSG00000160471
COX7A1	0	0	237	ENSG00000161281
NDUFS4	108.68	85.54	746	ENSG00000164258
UQCRQ	891.87	892.88	246	ENSG00000164405
COX6C	863.01	627.75	225	ENSG00000164919
NDUFB6	325.3	359.13	384	ENSG00000165264
ATP5F1C	361.9	334.11	895	ENSG00000165629
NDUFB8	281.31	266.36	607	ENSG00000166136
NDUFV1	99.61	84.65	1455	ENSG00000167792
NDUFS5	1259.64	1104.72	318	ENSG00000168653
UQCRFS1	292	305.94	822	ENSG00000169021
NDUFA3	119.11	111.61	558	ENSG00000170906
ATPAF2	13.62	12.83	867	ENSG00000171953
UQCRH	636.28	522.67	437	ENSG00000173660
NDUFA11	110.68	109.6	841	ENSG00000174886
COX8A	1141.14	1027.53	207	ENSG00000176340
NDUFV2	135.5	158.88	882	ENSG00000178127
COX5A	361.38	323.64	570	ENSG00000178741
CYC1	378.81	296.29	975	ENSG00000179091
NDUFB1	341.26	339.38	315	ENSG00000183648
UQCR10	506.24	418.29	225	ENSG00000184076
NDUFA12	193.63	192.35	550	ENSG00000184752
NDUFA6	273.41	226.28	462	ENSG00000184983
NDUFA4L2	0.6	0.84	333	ENSG00000185633
NDUFA13	420.38	357.66	770	ENSG00000186010
COX8C	0	0	216	ENSG00000187581
NDUFA4	963.84	903.33	243	ENSG00000189043
SDHD	108.61	108.38	658	ENSG00000204370
NDUFS3	111.01	98.28	1109	ENSG00000213619
ATP5PO	172.96	168.62	728	ENSG00000241837
NDUFA7	153.49	131.63	433	ENSG00000267855
