Gene	RPF_K562_WT_1	RPF_K562_WT_2	TACO1KO_1	TACO1KO_2	PREPLKO_1	PREPLKO_2	NME6KO_1	NME6KO_2	Length	GeneID
NDUFAB1	3.75	4.72	2.4	2.74	2.82	4.03	3.08	4.36	522	ENSG00000004779
UQCRC1	1.25	1.81	1.31	1.3	1.38	2.08	1.5	1.66	1495	ENSG00000010256
NDUFS1	0.63	0.84	0.55	0.7	0.72	0.81	0.75	0.63	2235	ENSG00000023228
NDUFB4	2.86	3.7	1.85	2.29	2.09	4.16	2.36	3.79	447	ENSG00000065518
SDHA	1.17	1.21	0.91	0.92	1.19	1.38	1.16	0.95	2126	ENSG00000073578
VPS9D1	0	0.02	0.01	0.02	0	0.01	0.02	0.02	1896	ENSG00000075399
NDUFB2	2.42	1.7	1.43	1.71	1.24	1.94	1.69	1.89	588	ENSG00000090266
ATP5F1D	4.71	3.53	3.92	3.45	3.71	3.78	3.38	3.54	504	ENSG00000099624
NDUFB7	3.97	3.01	2.58	2.87	2.41	4.23	2.63	3.29	411	ENSG00000099795
NDUFC1	3.2	2.63	2.78	2.8	3.51	2.97	1.97	2.37	228	ENSG00000109390
NDUFS8	1.71	2.01	1.17	1.3	1.55	2.33	1.34	1.78	841	ENSG00000110717
ATP5F1B	11.1	16.25	10.29	11.23	13.05	16.87	12.14	14.09	1587	ENSG00000110955
COX6A1	10.75	9.28	8.3	9.06	9.43	10.4	9.04	9.92	327	ENSG00000111775
COX7A2	3.76	3.86	3.18	3.06	2.64	4.37	3.29	3.72	589	ENSG00000112695
NDUFS7	1.34	1.73	1.31	1.38	1.39	2.52	1.03	1.86	937	ENSG00000115286
COX7A2L	1.09	1.26	0.71	1.06	1.16	1.45	0.99	1.13	513	ENSG00000115944
ATP5PB	5.01	7.62	5.21	5.52	5.64	7.5	5.33	6.58	768	ENSG00000116459
SDHB	1.89	2.65	2.55	2.4	1.78	2.74	1.58	2.62	870	ENSG00000117118
NDUFB3	2.48	2.67	2.02	2.2	1.87	2.88	2.16	2.31	294	ENSG00000119013
NDUFA8	2	2.49	1.98	2.39	2.28	3.04	2.22	2.03	516	ENSG00000119421
ATPAF1	0.13	0.07	0.15	0.15	0.08	0.14	0.06	0.18	1148	ENSG00000123472
ATP5F1E	12.01	5.29	8.27	9.04	5.7	3.59	7.56	7.91	153	ENSG00000124172
NDUFA1	4.98	3.91	10.64	10.66	6.64	7.7	8.85	6	210	ENSG00000125356
COX6B1	12.45	10.21	10.42	11.26	9.51	11.34	10.86	11.65	258	ENSG00000126267
COX7C	17.17	13.58	16.08	17.95	13.81	11.85	16.08	12.51	192	ENSG00000127184
UQCR11	8.04	3.69	5.92	5.63	3.32	4.41	5.38	4.4	168	ENSG00000127540
NDUFA5	2.94	3.22	2.25	2.36	2.29	2.97	2.5	2.65	447	ENSG00000128609
NDUFA10	0.52	0.58	0.28	0.32	0.46	0.54	0.4	0.45	1822	ENSG00000130414
COX4I2	0.02	0	0	0.02	0.02	0.02	0.02	0.03	513	ENSG00000131055
COX4I1	7.22	8.87	6.32	7.02	5.71	9.26	5.6	8.39	617	ENSG00000131143
COX7B	5.15	7.5	7.85	8.3	6.24	10.72	8.23	8.96	255	ENSG00000131174
NDUFA2	5.87	4.67	4.69	3.95	3.49	4.64	3.81	4.69	317	ENSG00000131495
ATP5MC2	7.39	6.73	7.54	6.83	5.48	5.62	6.49	7.07	471	ENSG00000135390
